full_id,osm_id,osm_type,amenity,foot,access,parking,layer,entrance,fee,barrier,name:en,name:ar,name,level,alt_name,operator
n291369511,"291369511",node,parking,,,,,,,,,,,,,
n291374407,"291374407",node,parking,,,,,,,,,,,,,
n291592627,"291592627",node,parking,,,,,,,,,,,,,
n292970981,"292970981",node,parking,,,,,,,,,,,,,
n293136927,"293136927",node,parking,,,,,,,,,,,,,
n293527171,"293527171",node,parking,,,,,,,,,,,,,
n293527301,"293527301",node,parking,,,,,,,,,,,,,
n293533032,"293533032",node,parking,,,,,,,,,,,,,
n293704844,"293704844",node,parking,,,,,,,,,,,,,
n293705322,"293705322",node,parking,,,,,,,,,,,,,
n293705604,"293705604",node,parking,,,,,,,,,,,,,
n293705631,"293705631",node,parking,,,,,,,,,,,,,
n293705909,"293705909",node,parking,,,,,,,,,,,,,
n293705911,"293705911",node,parking,,,,,,,,,,,,,
n293705989,"293705989",node,parking,,,,,,,,,,,,,
n293706000,"293706000",node,parking,,,,,,,,,,,,,
n293706071,"293706071",node,parking,,,,,,,,,,,,,
n293706115,"293706115",node,parking,,,,,,,,,,,,,
n293706267,"293706267",node,parking,,,,,,,,,,,,,
n293706294,"293706294",node,parking,,,,,,,,,,,,,
n302928306,"302928306",node,parking,,,,,,,,,,,,,
n322823738,"322823738",node,parking,,,,,,,,,,,,,
n322824306,"322824306",node,parking,,,,,,,,,,,,,
n322824317,"322824317",node,parking,,,,,,,,,,,,,
n322824334,"322824334",node,parking,,,,,,,,,,,,,
n322824392,"322824392",node,parking,,,,,,,,,,,,,
n322825007,"322825007",node,parking,,,,,,,,,,,,,
n322825015,"322825015",node,parking,,,,,,,,,,,,,
n322825025,"322825025",node,parking,,,,,,,,,,,,,parking
n330495024,"330495024",node,parking,,,,,,,,,,,,,
n351360159,"351360159",node,parking,,,,,,,,,,,,,
n351366044,"351366044",node,parking,,,,,,,,,,,,,
n358293620,"358293620",node,parking,,,,,,,,ABC Parking L1,موقف أ.ب.ث. ل1,موقف أ.ب.ث. ل1,"-1",موقف أ.ب.ث. ل1,
n387403684,"387403684",node,parking,,,,,,,,,,,,,
n512476112,"512476112",node,parking,,,,,,,,,,,,,
n512476179,"512476179",node,parking,,,,,,,,,,,,,
n514012085,"514012085",node,parking,,,,,,,,,,,,,
n534678942,"534678942",node,parking,,,,,,,,,,,,,
n559971554,"559971554",node,parking,,,,,,,,,,,,,
n614334920,"614334920",node,parking,,,,,,,,,,,,,
n655382068,"655382068",node,parking,,,,,,,,Concorde,كونكورد,كونكورد,,كونكورد,
n1200060696,"1200060696",node,parking,,,,,,,,ABC Parking L2,موقف أ.ب.ث. ل2,موقف أ.ب.ث. ل2,,,
n1200060697,"1200060697",node,parking,,,,,,,,ABC Parking L3,موقف أ.ب.ث. ل3,موقف أ.ب.ث. ل3,,,
n1607069136,"1607069136",node,parking,,,,,,,,,,,,,
n1607069151,"1607069151",node,parking,,,,,,,,,,,,,
n2668119286,"2668119286",node,parking_entrance,,,,,,,,,,,,,
n2760218186,"2760218186",node,,,,,,,,gate,,,,,,
n4509426192,"4509426192",node,parking_entrance,,,,,,3000 LBP,,,,,,,
n4514490213,"4514490213",node,,,,,,yes,,,,,,,,
n4681434295,"4681434295",node,,,,,,,,gate,,,,,,
n4720033698,"4720033698",node,,,,,,yes,,,,,,,,
n4757986289,"4757986289",node,parking,,,,,,,,,,,,,
n4803640725,"4803640725",node,parking,,,multi-storey,"1",,,,,,,,,
n4952414792,"4952414792",node,parking,,private,surface,,,,,,,,,,
n5026411928,"5026411928",node,,,,,,yes,,,,,,,,
n5026447922,"5026447922",node,,,,,,yes,,,,,,,,
n5165064424,"5165064424",node,parking,,,,,,,,,,,,,
n5438010300,"5438010300",node,,,,,,,,debris,,,,,,
n5476005679,"5476005679",node,parking,,,,,,,,,,,,,
n5498328329,"5498328329",node,,,,,,yes,,,,,,,,
n5498328334,"5498328334",node,,,,,,yes,,,,,,,,
n5498328335,"5498328335",node,,,,,,yes,,,,,,,,
n5924088520,"5924088520",node,,,,,,yes,,,,,,,,
n5974832644,"5974832644",node,parking,,private,surface,,,,,,,,,,
n5974832677,"5974832677",node,parking,,,,,,,,,,,,,
n5974863340,"5974863340",node,parking,,,,,,,,,,,,,
n6198082869,"6198082869",node,parking_entrance,,,,,,,,,,,,,
n6553998195,"6553998195",node,,,,,,yes,,,,,,,,
n7014903737,"7014903737",node,parking,,,,,,,,,,,,,
n7294849397,"7294849397",node,parking,,,,,,,,,,,,,
n7294935246,"7294935246",node,parking,,,,,,,,,,,,,
n7572828599,"7572828599",node,parking,,,,,,,,,,,,,
n7920604185,"7920604185",node,parking,,,,,,,,,,,,,
n9160340885,"9160340885",node,parking,,,,,,,,,,,,,
n9794380026,"9794380026",node,parking_entrance,,public,surface,,,,,,,,,,
n9794380027,"9794380027",node,parking_entrance,yes,no,surface,,,,,,,,,,
